t1_win_rate,t1_recent_win_rate,t1_titles,t1_toss_win_rate,t1_toss2win_rate,t1_seasons,t2_win_rate,t2_recent_win_rate,t2_titles,t2_toss_win_rate,t2_toss2win_rate,t2_seasons,toss_winner_is_t1,team1_wins,team1,team2,season
0.2667,0.2667,0.0,0.3667,0.0909,2.0,0.4795,0.431,0.0,0.5068,0.4324,4.0,0,0,Pune Warriors,Kings XI Punjab,2013
0.5139,0.4286,1.0,0.5278,0.5526,4.0,0.5875,0.5938,2.0,0.475,0.6316,4.0,1,0,Rajasthan Royals,Chennai Super Kings,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.2667,0.2667,0.0,0.3667,0.0909,2.0,0,1,Royal Challengers Bangalore,Pune Warriors,2013
0.4795,0.431,0.0,0.5068,0.4324,4.0,0.52,0.5246,0.0,0.56,0.5,4.0,0,1,Kings XI Punjab,Delhi Daredevils,2013
0.5,0.5085,1.0,0.4722,0.5588,4.0,0.5658,0.5806,0.0,0.5263,0.55,4.0,1,0,Kolkata Knight Riders,Mumbai Indians,2013
0.4795,0.431,0.0,0.5068,0.4324,4.0,0.5,0.5085,1.0,0.4722,0.5588,4.0,1,0,Kings XI Punjab,Kolkata Knight Riders,2013
0.5658,0.5806,0.0,0.5263,0.55,4.0,0.5065,0.5556,0.0,0.4026,0.5161,4.0,1,1,Mumbai Indians,Royal Challengers Bangalore,2013
0.5875,0.5938,2.0,0.475,0.6316,4.0,0.5,0.5085,1.0,0.4722,0.5588,4.0,0,1,Chennai Super Kings,Kolkata Knight Riders,2013
0.52,0.5246,0.0,0.56,0.5,4.0,0.2667,0.2667,0.0,0.3667,0.0909,2.0,0,1,Delhi Daredevils,Pune Warriors,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.5139,0.4286,1.0,0.5278,0.5526,4.0,0,0,Royal Challengers Bangalore,Rajasthan Royals,2013
0.5658,0.5806,0.0,0.5263,0.55,4.0,0.4795,0.431,0.0,0.5068,0.4324,4.0,1,1,Mumbai Indians,Kings XI Punjab,2013
0.5875,0.5938,2.0,0.475,0.6316,4.0,0.2667,0.2667,0.0,0.3667,0.0909,2.0,1,1,Chennai Super Kings,Pune Warriors,2013
0.5,0.5085,1.0,0.4722,0.5588,4.0,0.52,0.5246,0.0,0.56,0.5,4.0,1,0,Kolkata Knight Riders,Delhi Daredevils,2013
0.5875,0.5938,2.0,0.475,0.6316,4.0,0.4795,0.431,0.0,0.5068,0.4324,4.0,1,1,Chennai Super Kings,Kings XI Punjab,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.2667,0.2667,0.0,0.3667,0.0909,2.0,1,1,Royal Challengers Bangalore,Pune Warriors,2013
0.5139,0.4286,1.0,0.5278,0.5526,4.0,0.5,0.5085,1.0,0.4722,0.5588,4.0,1,0,Rajasthan Royals,Kolkata Knight Riders,2013
0.5065,0.5556,0.0,0.4026,0.5161,4.0,0.4795,0.431,0.0,0.5068,0.4324,4.0,0,0,Royal Challengers Bangalore,Kings XI Punjab,2013
0.5658,0.5806,0.0,0.5263,0.55,4.0,0.5875,0.5938,2.0,0.475,0.6316,4.0,1,1,Mumbai Indians,Chennai Super Kings,2013
0.2667,0.2667,0.0,0.3667,0.0909,2.0,0.5139,0.4286,1.0,0.5278,0.5526,4.0,1,0,Pune Warriors,Rajasthan Royals,2013
0.52,0.5246,0.0,0.56,0.5,4.0,0.5139,0.4286,1.0,0.5278,0.5526,4.0,1,0,Delhi Daredevils,Rajasthan Royals,2013
0.5658,0.5806,0.0,0.5263,0.55,4.0,0.5,0.5085,1.0,0.4722,0.5588,4.0,1,1,Mumbai Indians,Kolkata Knight Riders,2013
